,Time,Latitude,Longitude,CO2_2014_(ppm)
0,2014-09-07,-41,175,396.5411
1,2014-09-07,-41,175,397.33896
2,2014-09-07,-41,175,396.1413
3,2014-09-07,-41,175,396.04657
4,2014-09-07,-41,175,396.3676
5,2014-09-07,-41,175,396.9488
6,2014-09-07,-41,175,396.13388
7,2014-09-07,-41,175,395.06467
8,2014-09-07,-41,175,394.72885
9,2014-09-07,-41,175,396.4582
10,2014-09-07,-39,174,396.5945
11,2014-09-07,-39,174,398.49677
12,2014-09-07,-39,174,399.0258
13,2014-09-07,-39,174,398.31183
14,2014-09-07,-39,174,395.3728
15,2014-09-07,-39,174,396.7254
16,2014-09-07,-39,174,396.0518
17,2014-09-07,-39,174,396.34955
18,2014-09-07,-39,174,397.01514
19,2014-09-07,-39,174,397.00778
20,2014-09-07,-39,174,395.85974
21,2014-09-07,-39,174,395.49036
22,2014-09-07,-39,174,395.65826
23,2014-09-07,-39,174,395.8521
24,2014-09-07,-39,174,396.17065
25,2014-09-07,-39,174,397.3025
26,2014-09-07,-39,174,396.15787
27,2014-09-07,-39,174,395.87628
28,2014-09-07,-39,174,396.96954
29,2014-09-07,-39,174,396.88712
30,2014-09-07,-39,174,395.77814
31,2014-09-07,-39,174,396.55203
32,2014-09-07,-39,174,397.6365
33,2014-09-07,-39,174,395.6875
34,2014-09-07,-39,174,394.53995
35,2014-09-07,-39,174,396.03546
36,2014-09-07,-39,174,394.31915
37,2014-09-07,-39,174,394.2103
38,2014-09-07,-39,174,394.4445
39,2014-09-07,-39,174,394.77994
40,2014-09-07,-39,174,396.03094
41,2014-09-07,-39,174,395.67233
42,2014-09-07,-39,174,395.66968
43,2014-09-07,-39,174,395.17957
44,2014-09-07,-39,174,395.15387
45,2014-09-07,-39,174,395.26205
46,2014-09-07,-39,174,395.34213
47,2014-09-07,-39,174,395.70868
48,2014-09-07,-39,174,394.7498
49,2014-09-07,-39,174,393.9926
50,2014-09-07,-39,174,395.02646
51,2014-09-07,-39,174,394.13388
52,2014-09-07,-39,174,395.2341
53,2014-09-07,-39,174,395.4242
54,2014-09-07,-39,174,395.3302
55,2014-09-07,-39,174,395.09976
56,2014-09-07,-39,174,396.1192
57,2014-09-07,-39,174,395.74054
58,2014-09-07,-39,174,395.6794
59,2014-09-07,-39,174,397.38214
60,2014-09-07,-39,174,397.24274
61,2014-09-07,-39,174,395.24796
62,2014-09-07,-39,174,393.79245
63,2014-09-07,-39,174,392.1933
64,2014-09-07,-39,174,395.35544
65,2014-09-07,-39,174,395.18436
66,2014-09-07,-39,174,395.36075
67,2014-09-07,-39,174,395.11682
68,2014-09-07,-39,174,394.8471
69,2014-09-07,-39,174,395.60135
70,2014-09-07,-39,174,392.86792
71,2014-09-07,-39,174,394.93863
72,2014-09-07,-39,174,394.6529
73,2014-09-07,-39,174,394.99628
74,2014-09-07,-39,174,395.44427
75,2014-09-07,-39,174,395.2445
76,2014-09-07,-39,174,393.46857
77,2014-09-07,-39,174,393.66602
78,2014-09-07,-39,174,395.80927
79,2014-09-07,-39,174,392.9035
80,2014-09-07,-39,174,395.00552
81,2014-09-07,-39,174,393.75592
82,2014-09-07,-39,174,396.1278
83,2014-09-07,-39,174,395.08017
84,2014-09-07,-39,174,393.90094
85,2014-09-07,-39,174,396.4407
86,2014-09-07,-39,174,395.79236
87,2014-09-07,-39,174,395.24258
88,2014-09-07,-39,174,395.6484
89,2014-09-07,-39,174,393.324
90,2014-09-07,-39,174,396.11853
91,2014-09-07,-39,174,396.17606
92,2014-09-07,-39,174,394.03885
93,2014-09-07,-39,174,394.53137
94,2014-09-07,-39,174,394.70114
95,2014-09-07,-39,174,396.05246
96,2014-09-07,-39,174,395.3452
97,2014-09-07,-38,174,394.46945
98,2014-09-07,-38,174,394.07144
99,2014-09-07,-39,174,395.71704
100,2014-09-07,-39,174,395.3229
101,2014-09-07,-38,174,396.82855
102,2014-09-07,-38,174,396.82642
103,2014-09-07,-38,174,395.5008
104,2014-09-07,-38,174,394.0289
105,2014-09-07,-38,174,396.54703
106,2014-09-07,-39,174,396.7548
107,2014-09-07,-39,174,395.37488
108,2014-09-07,-38,174,396.0381
109,2014-09-07,-38,174,396.45288
110,2014-09-07,-38,174,395.42218
111,2014-09-07,-38,174,396.54337
112,2014-09-07,-38,174,396.46375
113,2014-09-07,-38,174,396.05084
114,2014-09-07,-35,173,395.58398
115,2014-09-07,-35,173,395.0807
116,2014-09-07,-35,173,396.39938
117,2014-09-07,-35,173,398.16718
118,2014-09-07,-35,173,395.43454
119,2014-09-07,-35,173,395.67838
120,2014-09-07,-35,173,394.6421
121,2014-09-07,-35,173,392.85657
122,2014-09-07,-35,173,392.28528
123,2014-09-07,-35,173,397.57217
124,2014-09-07,-35,173,398.6067
125,2014-09-07,-35,173,396.7379
126,2014-09-07,-35,173,397.1049
127,2014-09-07,-35,173,395.54633
128,2014-09-07,-35,173,402.08102
129,2014-09-07,-35,173,396.6684
130,2014-09-07,-35,173,398.2398
131,2014-09-07,-35,173,397.78857
132,2014-09-07,-35,173,397.6905
133,2014-09-07,-35,173,396.91776
134,2014-09-07,-35,173,396.74765
135,2014-09-07,-35,173,396.2494
136,2014-09-07,-35,173,396.50098
137,2014-09-07,-35,173,396.67566
138,2014-09-07,-35,173,396.00073
139,2014-09-07,-35,173,396.16193
140,2014-09-07,-35,173,396.62253
141,2014-09-07,-35,173,395.16537
142,2014-09-07,-35,173,394.55142
143,2014-09-07,-35,173,398.1048
144,2014-09-07,-35,173,396.90356
145,2014-09-07,-35,173,396.34656
146,2014-09-07,-35,173,395.71133
147,2014-09-07,-35,173,396.54337
148,2014-09-07,-35,173,395.19556
149,2014-09-07,-35,173,396.9777
150,2014-09-07,-35,173,397.1339
151,2014-09-07,-35,173,396.2156
152,2014-09-07,-35,173,395.70007
153,2014-09-07,-35,173,396.7316
154,2014-09-07,-35,173,396.5335
155,2014-09-07,-35,173,395.0718
156,2014-09-07,-35,173,395.40402
157,2014-09-07,-35,173,396.185
158,2014-09-07,-35,173,396.62213
159,2014-09-07,-35,173,397.1863
160,2014-09-07,-35,173,395.57513
161,2014-09-07,-35,173,395.67737
162,2014-09-07,-35,173,396.0306
163,2014-09-07,-35,173,395.4044
164,2014-09-07,-35,173,396.06506
165,2014-09-07,-35,173,396.39886
166,2014-09-07,-35,173,395.92154
167,2014-09-07,-35,173,396.43317
168,2014-09-07,-35,173,397.70102
169,2014-09-07,-35,173,397.93793
170,2014-09-07,-35,173,394.536
171,2014-09-07,-35,173,394.72522
172,2014-09-07,-35,173,397.30417
173,2014-09-07,-35,173,395.03488
174,2014-09-07,-35,173,396.3753
175,2014-09-07,-35,173,397.215
176,2014-09-07,-35,173,395.56238
177,2014-09-07,-35,173,397.2779
178,2014-09-07,-35,173,395.3858
179,2014-09-07,-35,173,397.90887
180,2014-09-07,-35,173,396.8672
181,2014-09-07,-35,173,396.8289
182,2014-09-07,-35,173,396.90063
183,2014-09-07,-35,173,396.55646
184,2014-09-07,-35,173,396.1869
185,2014-09-07,-35,173,395.59262
186,2014-09-07,-35,173,395.26938
187,2014-09-07,-35,173,393.90317
188,2014-09-07,-35,173,397.33627
189,2014-09-07,-35,173,395.3297
190,2014-09-07,-35,173,396.08496
191,2014-09-07,-35,173,395.11642
192,2014-09-07,-35,173,395.20288
193,2014-09-07,-35,173,394.72238
194,2014-09-07,-35,173,395.96268
195,2014-09-07,-35,173,395.98398
196,2014-09-07,-34,173,398.31638
197,2014-09-07,-34,173,397.02814
198,2014-09-07,-34,173,397.4336
199,2014-09-07,-34,173,394.6967
200,2014-09-07,-34,173,396.74747
201,2014-09-07,-34,173,396.3695
202,2014-09-09,-41,175,395.35233
203,2014-09-09,-41,175,398.30072
204,2014-09-09,-41,175,397.5218
205,2014-09-09,-41,175,397.49493
206,2014-09-09,-41,175,397.72488
207,2014-09-09,-41,175,397.08896
208,2014-09-09,-41,175,395.66367
209,2014-09-09,-41,175,395.4137
210,2014-09-09,-41,175,395.053
211,2014-09-09,-41,175,393.5783
212,2014-09-09,-41,175,394.70557
213,2014-09-09,-41,175,392.46317
214,2014-09-09,-41,175,393.93155
215,2014-09-09,-41,175,394.9144
216,2014-09-09,-41,175,396.18442
217,2014-09-09,-41,175,391.42633
218,2014-09-09,-41,175,393.51895
219,2014-09-09,-41,175,395.45505
220,2014-09-09,-41,175,393.7481
221,2014-09-09,-41,175,393.202
222,2014-09-09,-41,175,394.7991
223,2014-09-09,-41,175,393.71127
224,2014-09-09,-41,175,396.63693
225,2014-09-09,-41,175,395.40494
226,2014-09-09,-41,175,395.5959
227,2014-09-09,-41,175,396.08652
228,2014-09-09,-41,175,396.44266
229,2014-09-09,-41,175,396.57385
230,2014-09-09,-41,175,395.6019
231,2014-09-09,-41,175,393.9812
232,2014-09-09,-41,175,394.91418
233,2014-09-09,-41,175,396.41104
234,2014-09-09,-41,175,396.66135
235,2014-09-09,-41,175,395.28287
236,2014-09-09,-41,175,395.5502
237,2014-09-09,-41,175,394.96643
238,2014-09-09,-41,175,393.6675
239,2014-09-09,-41,175,395.99368
240,2014-09-09,-41,175,395.61172
241,2014-09-09,-41,175,396.2457
242,2014-09-09,-41,175,396.3313
243,2014-09-09,-41,175,395.62552
244,2014-09-09,-41,175,398.28165
245,2014-09-09,-41,175,395.14386
246,2014-09-09,-41,175,395.69595
247,2014-09-09,-41,175,395.06494
248,2014-09-09,-41,175,395.3437
